i-038b22f696e9fc9e1	vortech-STAG-vpn-server
i-04132bf5f442ebedd	vortech-game-STAG-iframe-frontend
i-01e15ee31f08632dc	vortech-game-STAG-game-backend
i-0910e918451040df3	vortech-game-STAG-platform-services
i-0a2adac8733a8bf53	vortech-game-STAG-elk-kafka
i-027f2deb697e1d424	vortech-game-STAG-nexus-and-account-services
i-051a9b989760cc617	vortech-game-STAG-bo-tools
i-01fd53254a2134afb	vortech-game-STAG-consumer-db
i-01c628d52af160ad6	vortech-live-DEV-api-socket-cas-nginx
i-0233cbb48e4ec3644	vortech-live-DEV-game-state-manager_kafka
i-06983876900e5fb63	vortech-live-DEV-cas-core-and-table
i-09a83a0fbccb5aead	vortech-registry-nexus-vault
i-0ee0bc84a481f7852	vortech-game-STAG-K6-game-backend-load-test
i-09d1263d82f1e7e13	vortech-live-DEV-cas-fe
i-0a0547b95bd94d36b	vortech-game-PRE-PROD-game-backend
i-0932344e737eade5b	vortech-game-PRE-PROD-bo-tools
i-072b8ac3e9747ac3d	vortech-game-PRE-PROD-game-platform
i-0cb266ea25b9521df	vortech-game-PRE-PROD-elk-kafka
i-05092a049b4b8318f	vortech-game-PRE-PROD-game-fe
i-00329925fa9d35431	vortech-game-PRE-PROD-consumer
i-00e1f203db683fd43	vortech-PRE-PROD-vpn-server
i-06071467888522300	vortech-game-PRE-PROD-account-services
i-0b02819dbe4bac930	vortech-game-DEV-consumer
i-0df157b1c5e39bbc6	vortech-game-DEV-game-frontend
i-06348a833366f70b1	vortech-game-DEV-elk-kafka
i-00505a0c455d1ee8d	vortech-game-DEV-account-service
i-0c0fa3f664bce1f67	vortech-game-DEV-game-backend
i-056064340cbb100e7	vortech-game-DEV-bo-tools
i-0c7df5d9c5aa6bc1d	vortech-game-DEV-VPN
i-0970bed8b2525e470	vortech-game-DEV-game-platform
i-06db6fa23a0c17f85	vortech-live-DEV-game-backend
i-036ed81ed989c0cce	vortech-live-DEV-game-frontend
i-04b55c2e3974eb5ff	vortech-live-DEV-game-consumers
i-0c1b435ddc4517403	vortech-live-PRE-PROD-game-consumers
i-09fe11bf2f0db641d	vortech-live-PRE-PROD-cas-core-and-table
i-056eb0deb10e60548	vortech-live-PRE-PROD-game-backend
i-0c337c269f7662ded	vortech-live-PRE-PROD-api-socket-cas-nginx
i-0d89df34ce0981840	vortech-live-PRE-PROD-cas-fe
i-084a44449c69969d0	vortech-live-PRE-PROD-game-state-manager_kafka
i-0c75904e4dbaf82ba	vortech-live-PRE-PROD-game-frontend
i-09542497cf521290f	vortech-live-STAG-cas-core-and-table
i-07dc0ae6ee3b34043	vortech-live-STAG-game-frontend
i-096652bbee410acd3	vortech-live-STAG-game-state-manager_kafka
i-0426f8dd438b61595	vortech-live-STAG-game-consumers
i-016ae955e1d2fb86e	vortech-live-STAG-api-socket-cas-nginx
i-0230adb80b5357371	vortech-live-STAG-cas-fe
i-007bab427438405dd	vortech-live-STAG-game-backend
i-03805c40dc5d7eae9	vortech-PREPROD-vpn-server
i-099688e795f2c3f52	vortech-game-STAG-game-backend-loadtest-89
i-0fee2631a2fdcbe8b	vortech-monitoring-STAG
